version_taxref	cd_ref_taxref	phylum_taxref	classe_taxref	ordre_taxref	famille_taxref	genre_taxref	nom_valide_taxref	nom_latin_taxref	nom_vern_taxref	habitat_taxref	libelle_indigenat_taxref	indigenat_regional	synthese_reglementations_protections	PROTECTION_NAT	BARC/OSPAR	BERN/BONN	COMMERCE	DO/DHFF	AUTRE_REGL	endemisme_national_taxref	complement_endemisme	statut_presence_regionale	rarete_regionale	presence_d24	presence_d33	presence_d40	presence_d47	presence_d64	presence_d19	presence_d23	presence_d87	presence_d16	presence_d17	presence_d79	presence_d86	enjeu_regional_conservation	statuts_biologiques_specifiques	resume_menace_metropole	categorie_lr_metropole	annee_lr_metropole	resume_menace_na	categorie_lr_aquitaine	annee_lr_aquitaine	categorie_lr_limousin	annee_lr_limousin	categorie_lr_poitou_charente	annee_lr_poitou_charente	determinante_aquitaine	determinante_pc	determinante_limousin	sensibilite_donnees
18.0	3603	Chordata	Aves	Piciformes	Picidae	Picus	"Picus viridis Linnaeus, 1758"	"Picus viridis"	"Pic vert, Pivert"	Terrestre	"Indigène ou indéterminé"	Indigène	"PN, RI"	"PN_Oiseaux  (Art. 3)"		"BERN (Ann. II)"					"Non endémique"	Pr	"Très commune"	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Modéré	NC,H	"Non menacée"	LC	2016	"Non menacée"			LC	2015	LC	2018				
18.0	3608	Chordata	Aves	Piciformes	Picidae	Dryocopus	"Dryocopus martius (Linnaeus, 1758)"	"Dryocopus martius"	"Pic noir"	Terrestre	"Indigène ou indéterminé"	Indigène	"PN, RE, RI"	"PN_Oiseaux  (Art. 3)"		"BERN (Ann. II)"		"DO (Ann. I)"			"Non endémique"	Pr	"Très commune"	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Modéré	NC,H	"Non menacée"	LC	2016	Menacée			LC	2015	VU	2018		"Sous conditions"		
18.0	3611	Chordata	Aves	Piciformes	Picidae	Dendrocopos	"Dendrocopos major (Linnaeus, 1758)"	"Dendrocopos major"	"Pic épeiche"	"Continental (terrestre et/ou eau douce)"	"Indigène ou indéterminé"	Indigène	"PN, RI"	"PN_Oiseaux  (Art. 3)"		"BERN (Ann. II)"					"Non endémique"	Pr	"Très commune"	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Modéré	NC,H	"Non menacée"	LC	2016	"Non menacée"			LC	2015	LC	2018				
18.0	3148	Chordata	Aves	Charadriiformes	Charadriidae	Charadrius	"Charadrius leschenaultii Lesson, 1826"	"Charadrius leschenaultii"	"Gravelot de Leschenault, Pluvier de Leschenault"	"Continental (terrestre et/ou eau douce)"	"Indigène ou indéterminé"	Indigène	"PN, RI"	"PN_Oiseaux  (Art. 4)"		"BERN (Ann. II), BONN (AEWA, Ann. II)"					"Non endémique"	Occ	"Non évaluée"	Ab	Occ	Ab	Ab	Ab	Ab	Ab	Ab	Ab	Occ	Ab	Ab	"Non évaluée"	MTEr	"Non évaluée"			"Non évaluée"										
18.0	3144	Chordata	Aves	Charadriiformes	Charadriidae	Charadrius	"Charadrius vociferus Linnaeus, 1758"	"Charadrius vociferus"	"Gravelot kildir, Pluvier kildir"	"Marin & Terrestre"	"Indigène ou indéterminé"	Indigène	"PN, RI, RN"	"PN_Oiseaux  (Art. 4)"		"BERN (Ann. III), BONN (Ann. II)"			"REGL_Derogation_CNPN (Ann. 1)"		"Non endémique"	Occ	"Non évaluée"	Ab	Occ	Ab	Ab	Ab	Ab	Ab	Ab	Ab	Ab	Ab	Ab	"Non évaluée"	MTEr	"Non évaluée"			"Non évaluée"										
18.0	3146	Chordata	Aves	Charadriiformes	Charadriidae	Charadrius	"Charadrius mongolus Pallas, 1776"	"Charadrius mongolus"	"Gravelot mongol, Pluvier mongol, Pluvier de Mongolie"	"Continental (terrestre et/ou eau douce)"	"Indigène ou indéterminé"	Indigène	"PN, RI"	"PN_Oiseaux  (Art. 4)"		"BERN (Ann. III), BONN (AEWA, Ann. II)"					"Non endémique"	Occ	"Non évaluée"	Ab	Ab	Ab	Ab	Ab	Ab	Ab	Ab	Ab	Occ	Ab	Ab	"Non évaluée"	MTEr	"Non évaluée"			"Non évaluée"										
18.0	3619	Chordata	Aves	Piciformes	Picidae	Dendrocopos	"Dendrocopos medius (Linnaeus, 1758)"	"Dendrocopos medius"	"Pic mar"	"Continental (terrestre et/ou eau douce)"	"Indigène ou indéterminé"	Indigène	"PN, RE, RI"	"PN_Oiseaux  (Art. 3)"		"BERN (Ann. II)"		"DO (Ann. I)"			"Non endémique"	Pr	Commune	Pr	Occ	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Notable	NC,H	"Non menacée"	LC	2016	"Non menacée"			LC	2015	NT	2018	"Sous conditions"	"Sous conditions"		
18.0	3625	Chordata	Aves	Piciformes	Picidae	Dendrocopos	"Dendrocopos leucotos (Bechstein, 1803)"	"Dendrocopos leucotos"	"Pic à dos blanc"	"Continental (terrestre et/ou eau douce)"	"Indigène ou indéterminé"	Indigène	"PN, RE, RI, RN"	"PN_Oiseaux  (Art. 3)"		"BERN (Ann. II)"		"DO (Ann. I)"	"REGL_Derogation_CNPN (Ann. 1)"		"Non endémique"	Pr	Rare	Ab	Ab	Ab	Ab	Pr	Ab	Ab	Ab	Ab	Ab	Ab	Ab	Majeur	NC,H	Menacée	VU	2016	"Non évaluée"							"Sous conditions"			Stricte
18.0	971	Chordata	Aves	Phoenicopteriformes	Podicipedidae	Podiceps	"Podiceps auritus (Linnaeus, 1758)"	"Podiceps auritus"	"Grèbe esclavon"	"Marin & Terrestre"	"Indigène ou indéterminé"	Indigène	"PN, RE, RI, RN"	"PN_Oiseaux  (Art. 3)"		"BERN (Ann. II), BONN (AEWA, Ann. II)"		"DO (Ann. I)"	"REGL_Derogation_CNPN (Ann. 1)"		"Non endémique"	Pr	"Non évaluée"	Occ	Pr	Pr	Ab	Pr	Occ	Occ	Occ	Ab	Pr	Ab	Occ	"Non évaluée"	H	"Non évaluée"			"Non évaluée"							"Sous conditions"	"Sous conditions"		
18.0	3630	Chordata	Aves	Piciformes	Picidae	Dendrocopos	"Dendrocopos minor (Linnaeus, 1758)"	"Dendrocopos minor"	"Pic épeichette"	"Continental (terrestre et/ou eau douce)"	"Indigène ou indéterminé"	Indigène	"PN, RI"	"PN_Oiseaux  (Art. 3)"		"BERN (Ann. II)"					"Non endémique"	Pr	"Très commune"	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Fort	NC,H	Menacée	VU	2016	"Non menacée"			LC	2015	NT	2018				
